aircraft_id,flight_date,cabin_component,issue_type,severity,failure_flag,repair_time_hours,maintenance_cost_usd,airport_code
A320_15,2023-04-17,Galley,Electrical,High,0,0.0,0.0,DEL
A320_11,2023-03-29,Galley,Software,Medium,0,0.0,0.0,MAA
A320_12,2023-10-21,IFE,Electrical,Low,1,3.3903013081156086,2671.306514997965,HYD
A320_10,2023-07-07,Lavatory,Software,Low,0,0.0,0.0,BOM
A320_7,2023-01-21,Seat,Software,Medium,1,9.514412603906663,4831.59696206534,DEL
A320_2,2023-12-06,Lighting,Software,High,0,0.0,0.0,HYD
A320_15,2023-02-04,Seat,Mechanical,Medium,0,0.0,0.0,DEL
A320_18,2023-08-06,Lighting,Mechanical,Medium,0,0.0,0.0,HYD
A320_16,2023-09-28,Lighting,Electrical,Medium,0,0.0,0.0,MAA
A320_18,2023-02-22,IFE,Electrical,Low,0,0.0,0.0,BLR
A320_13,2023-03-06,Seat,Software,Low,0,0.0,0.0,BLR
A320_11,2023-03-22,Lavatory,Software,Low,0,0.0,0.0,BOM
A320_7,2023-02-10,Lighting,Software,Low,0,0.0,0.0,HYD
A320_16,2023-03-03,Galley,Software,Medium,0,0.0,0.0,BOM
A320_3,2023-04-11,Lavatory,Electrical,Low,0,0.0,0.0,DEL
A320_14,2023-12-25,Lavatory,Electrical,High,0,0.0,0.0,DEL
A320_13,2023-06-28,Seat,Electrical,Medium,0,0.0,0.0,MAA
A320_13,2023-05-23,Lavatory,Electrical,Low,0,0.0,0.0,BOM
A320_2,2023-06-19,Galley,Mechanical,Low,0,0.0,0.0,MAA
A320_12,2023-02-13,Lighting,Mechanical,Medium,1,5.623751298198682,4056.4567603039054,HYD
A320_1,2023-10-10,Seat,Electrical,Low,0,0.0,0.0,BOM
A320_8,2023-05-17,Galley,Electrical,High,0,0.0,0.0,DEL
A320_15,2023-11-11,Seat,Electrical,Medium,0,0.0,0.0,BLR
A320_12,2023-10-22,IFE,Software,Low,0,0.0,0.0,MAA
A320_17,2023-07-06,Seat,Mechanical,Medium,0,0.0,0.0,HYD
A320_5,2023-08-12,Seat,Electrical,High,0,0.0,0.0,DEL
A320_6,2023-09-04,Lighting,Software,High,0,0.0,0.0,BOM
A320_6,2023-10-07,Galley,Mechanical,Medium,0,0.0,0.0,BOM
A320_16,2023-04-07,Seat,Software,Medium,1,7.110221664513378,4305.958143587227,HYD
A320_19,2023-12-12,Lavatory,Software,High,0,0.0,0.0,HYD
A320_20,2023-05-08,IFE,Electrical,High,0,0.0,0.0,HYD
A320_18,2023-05-31,IFE,Software,High,1,6.7698484373247005,4104.388780985957,BLR
A320_17,2023-01-02,Seat,Mechanical,Low,0,0.0,0.0,MAA
A320_9,2023-08-21,Lavatory,Software,High,1,8.635080772841878,2082.089822898732,BLR
A320_11,2023-04-23,Lighting,Mechanical,Medium,0,0.0,0.0,BOM
A320_3,2023-06-02,Galley,Mechanical,Medium,0,0.0,0.0,DEL
A320_3,2023-07-27,Galley,Electrical,Low,0,0.0,0.0,HYD
